Date,Dim-0,Dim-1,Dim-2,Dim-3,Dim-4,Dim-5,Dim-6,Dim-7,Dim-8,Dim-9,Dim-10,Dim-11,Dim-12,Dim-13,Dim-14,Dim-15,Dim-16,Dim-17,Dim-18,Dim-19,Dim-20,Dim-21,Dim-22,Dim-23,Dim-24,Dim-25,Dim-26,Dim-27,Dim-28,Dim-29,Dim-30,Dim-31,Dim-32,Dim-33,Dim-34,Dim-35,Dim-36,Dim-37,Dim-38,Dim-39,Dim-40,Dim-41,Dim-42,Dim-43,Dim-44,Dim-45,Dim-46,Dim-47,Dim-48,Dim-49,Dim-50,Dim-51,Dim-52,Dim-53,Dim-54,Dim-55,Dim-56,Dim-57,Dim-58,Dim-59,Dim-60,Dim-61,Dim-62,Dim-63,Dim-64,Dim-65,Dim-66,Dim-67,Dim-68,Dim-69,Dim-70,Dim-71,Dim-72,Dim-73,Dim-74,Dim-75,Dim-76,Dim-77,Dim-78,Dim-79,Dim-80,Dim-81,Dim-82,Dim-83,Dim-84,Dim-85,Dim-86,Dim-87,Dim-88,Dim-89,Dim-90
2017/10/12,0,0,0.002772644,0.001239534,0.015067097,0,0.022192771,0,0.001191642,0.009312922,0.003886416,0.016527818,0,0.000957848,0.001462056,0.002829739,0.0027818,0.000770056,0,0.008662572,0.006208684,0,0,0.030151224,0,0,0.005877697,0.010554698,0.012435711,0.003037028,0.015479606,0.00474852,0.002216396,0.014830287,0.003892425,0.003616876,0.002022663,0.00158678,0,0.001011633,0,0.004951603,0.005572141,0,0.007790108,0.002911125,0.002284072,0.012786361,0.01097496,0.00163086,0.003092825,0.002705976,0.000686817,0.002349827,0.00094806,0.00596034,0.014564695,0.011854771,0.010562025,0.005967287,0.009029145,0,0.013406028,0.000850244,0.001325557,0,0.041551311,0.030004332,0.002877102,0.001344378,0.003231857,0.002332167,0.000623157,0.006796507,0.00111246,0,0.001998904,0.003902642,0.014366318,0.007514534,0,0,0,0.014153673,0.000880191,0.00563485,0,0,0.009519253,0.004637019,0.023639832
2017/10/13,0,0,0.00311104,0.002403687,0.011213699,0,0.019820096,0.009077531,0.003699558,0.000834387,0,0.005765175,0.000311032,0.000738792,0.005396307,0.000844348,0.005924597,0,0,0.010978676,0.009926066,0,0.001828013,0.00801554,0,0.002739135,0.002092888,0.002304186,0.005491653,0.008479104,0.008195826,0.004738892,0.004128482,0,0.000549222,0.001516412,0.00363419,0.001256955,0,0.001149004,0,0.010632623,0.01210842,0,0.001672771,0.002378349,0.000812603,0.012117965,0.006848304,0.001699815,0.002137221,0.004167315,0.001348764,0.001564593,0.00095522,0.005660014,0.018970645,0.022125351,0.004719182,0.00150921,0.005199858,0.003182406,0,0,0.000883376,0.000436229,0.036371333,0.026784887,0.010228394,0.005446531,0.000891127,0,0.003839722,0.003732585,0.008543306,0,0.000470089,0.007835926,0,0.004748564,0,0,0,0.01122241,0.000559921,0,0.003000252,0,0.018975524,0.006461886,0.018476267
2017/10/14,0,0,0.004434916,0.001532012,0.009868706,0,0.013673978,0.012189827,0.006276291,0,0,0.014726883,0.001003773,0.000992093,0.009175303,0,0,0.006166192,0,0.00494124,0.006281727,0,0.00410635,0.007548886,0,0,0.002154466,0.010986663,0.012983276,0.002812018,0.006524395,0.003221396,0.002408265,0.006298232,0.002585647,0.001539113,0.00791952,0.004805574,0,0.001542948,0,0.006078367,0.01057837,0.000970722,0.004892355,0.002436205,0,0.01360246,0.004618228,0.001958563,0.001935301,0.003485764,0.001282117,0.006865114,0.006791449,0.0045762,0.019203271,0.015230299,0.002464482,0.00467388,0,0.000720259,0.000378964,0.000919584,0.002319242,0.000585794,0.026829833,0.024126798,0.003242466,0,0.008773441,0.000629165,0,0.00122945,0.008105345,0.004110049,0.002107588,0.002543223,0.005334679,0.005620008,0,0,0,0.014767543,0.000751894,0.000942856,0.002773959,0,0.0110225,0.008288636,0.015146402
2017/10/15,0,0,0.007745267,0.001156923,0.01476326,0,0.016618887,0,0.012022062,0.004645676,0,0.01087861,0.010594806,0,0.007355116,0.001308161,0.001245295,0,0,0.002979614,0,0,0.000853931,0.017981953,0.000354785,0.002999,0.003028112,0.011710305,0.016782429,0.005840405,0.00404316,0.005132498,0.00548777,0,0.019728866,0,0.006931103,0.00356587,0.005331479,0,0,0.004785618,0.013667078,0.000890088,0.006172024,0.00080437,0.000835114,0.007618896,0.006179413,0.000919802,0.010765287,0.00705743,0.001724967,0.00897553,0.007619304,0.001210944,0.020494858,0.026322754,0.006502629,0.004030038,0,0.001070737,0.002072375,0.000804636,0,0,0.040832519,0.022358556,0.008822293,0.004986878,0.008416795,0.0018275,0,0.002937222,0.000737259,0,0.002481382,0.005401938,0.007634755,0.012447324,0,0,0,0.020382562,0.002170455,0.003852467,0.001129251,0.000695938,0.015908483,0.008937292,0.018656885
2017/10/16,0,0,0.012683572,0.003509237,0.020481264,0,0.007924395,0.001915718,0.010705063,0.000787822,0.00117528,0.006903711,0.012942955,0.001242338,0.006507195,0.000987291,0.001204548,0,0,0.004140089,0.003707628,0,0.000644476,0.004863314,0.000557163,0.00072709,0.0019705,0.009603846,0.007809199,0.00893953,0.008244548,0.004299614,0.012560456,0,0.02006608,0.001141511,0.010404599,0.002166691,0.003788614,0.002492376,0,0.010639014,0.013530783,0.005677733,0.004322063,0.000273878,0.003893015,0.010180212,0.006633779,0.001439796,0.010808518,0.002452406,0.001826511,0.00575874,0.003896288,0.003753206,0.022158467,0.012444507,0.006603657,0.002255247,0,0.001692521,0.001635773,0.002528775,0.001220355,0.002266016,0.037431392,0.020362433,0.009564876,0.006727641,0.003899302,0.000963759,0.000605375,0.003086788,0.000556422,0.002918127,0.000943088,0.004520642,0.007239143,0.01213537,0,0,0,0.015492967,0.001708123,0.003698435,0.005029701,0.002236925,0.013758387,0.007703608,0.01393799
2017/10/17,0,0,0.017253045,0.005019023,0.017247439,0,0.014397674,0.001634981,0.007558353,0.002528445,0.0056479,0.014354679,0.009731194,0.001266229,0.007062327,0,0,0,0,0.003215207,0.012445906,0,0,0.015948704,0,0.002954834,0.00081107,0.012087754,0.014915293,0.001525322,0.010744667,0.005428371,0.009257222,0,0.013761177,0.000493837,0.004609868,0.00202598,0.000480639,0,0,0.011670099,0.013906024,0.007075901,0.00464668,0.003512183,0.005304469,0.011060757,0.003056207,0.002140767,0.008371224,0.009768673,0.004782859,0.008223952,0.002818116,0.008919618,0.022643948,0.023696485,0.002961707,0.004584535,0.002746165,0,0.000328167,0.00277883,0.000571407,0,0.041969143,0.021546814,0.004336759,0.00195781,0.008702171,0.002244247,0.001512488,0.005074378,0.00058596,0,0.002357816,0.00812495,0,0.010203193,0.000550476,0,0,0.01524278,0.000968542,0.006136621,0.004718512,0.000535337,0.004971858,0.008553307,0.020607035
2017/10/18,0,0,0.008230183,0.003728102,0.014783177,0,0.005551447,0.002439917,0.004707987,0.007925475,0.004369313,0.01175197,0.013626618,0.001621234,0.00295117,0,0.000322358,0.003117778,0,0.000396834,0.014547201,0,0,0.003706828,0,0.001017699,0.001663419,0.008260914,0.014847326,0.002980665,0.008234718,0.004665161,0.005162002,0.001231575,0.001330546,0.000781164,0.003781312,0.006907038,0,0,0,0.010381458,0.012644866,0.002512976,0.005937338,0.007373663,0.008054753,0.011795748,0.006603234,0.000469344,0.000893756,0.000604925,0.003058136,0.010099804,0.003890911,0.009847911,0.024815175,0.006243295,0.008789152,0.004659391,0.002294407,0.004449865,0.001892141,0.001662905,0.000675299,0,0.037956014,0.029060719,0.004149514,0,0.00208296,0,0.001443966,0.002978979,0.004086008,0,0.010253609,0.006728573,0.010301867,0.012243763,0,0,0,0.019005414,0.001253913,0.001247096,0.000873436,0,0.011936227,0.008428478,0.013753569
2017/10/19,0,0,0.00497829,0.005149225,0.011277125,0,0.011073119,0.010058511,0.001937309,0.005244945,0.003418303,0.005555752,0.00034634,0.003422826,0.004066058,0,0.000863142,0.002743644,0,0.002936363,0.006268016,0,0.002277174,0.007339406,0.000568792,0.00235698,0.001656702,0.006436447,0.014788604,0.001249943,0.011971429,0.001497223,0.001801781,0,0.008100897,0.006037511,0,0.008210012,0.002055784,0,0,0.004194839,0.003536938,0,0.007802996,0.004973774,0.008661256,0.006599741,0.002351724,0.001310365,0.005089986,0.007984043,0.001239135,0.005509598,0.000545803,0.015427345,0.028200025,0.021145525,0.022352538,0.006121202,0.002019078,0.006910557,0.002040319,0.000874159,0.002662367,0.002888495,0.048413845,0.02743084,0.010058128,0.003257628,0.003367451,0.002827126,0.005900504,0.002730898,0.007927591,0.004366589,0.012958112,0.009052241,0.014178129,0.007630393,0,0,0,0.019444898,0.002130685,0.00465161,0.002598835,0.000954605,0.009451787,0.007940395,0.016444756
2017/10/20,0,0,0.004375762,0.001361157,0.014356768,0,0.013666636,0.011146903,0.00091763,0.002691006,0.001074788,0.003935774,0.0011021,0,0.00367,0.001226946,0.000433706,0.003717056,0,0.00305665,0.004076124,0,0.004440958,0.010247444,0.007603989,0.008798788,0.000352297,0.005259881,0.009381701,0.000986158,0.010452778,0.005578607,0.000452243,0,0.005231748,0.003356842,0.003448077,0.007504381,0.002448925,0.001011787,0,0.008004217,0.003605009,0.000425013,0.011650586,0.004299296,0.005884668,0.007420667,0.006482165,0.001976467,0.003282243,0.009992456,0.001718685,0.009768341,0.002275104,0.007965222,0.017117045,0.016966573,0.015598322,0.010050345,0.010557702,0.008353006,0,0.000840537,0.003494667,0.004417015,0.039644596,0.018018233,0.008914457,0.004033441,0.001424647,0.002612771,0.000606546,0.001904532,0.012300287,0.00158393,0.00150763,0.005971275,0.013926892,0.014660043,0,0,0,0.013729128,0.002798718,0.003141924,0.002304126,0,0.012369005,0.009033012,0.016342722
2017/10/21,0,0,0.002218442,0,0.013054717,0,0.012989933,0.007166415,0.006074654,0.0038036,0.001382588,0.010416124,0.003710448,0.000299616,0.006849865,0,0,0,0,0.004674431,0.005544779,0,0.001093017,0.009200196,0.001024694,0.015452476,0.002266686,0.010483871,0.010168345,0.000822235,0.01160591,0.010123357,0.000227805,0,0.003048433,0,0.005750583,0.000911174,0.000777126,0.00390744,0,0.010262011,0.010173124,0,0.009780602,0.001837438,0.007457725,0.013752507,0.00346902,0.003066627,0.005336702,0.005967937,0.002895331,0.01605465,0.008578287,0.006454375,0.015103998,0.02203015,0.015444543,0.00880212,0,0,0,0.007554405,0.00028164,0.000873072,0.046561846,0.029222748,0.002760826,0,0.00196273,0,0.002116163,0.000522742,0,0.004435927,0.000990626,0.006710931,0.008154711,0.007433603,0,0,0,0.016614493,0.004710376,0.01148675,0.006511118,0.00100271,0.005602521,0.005434311,0.021050939
2017/10/22,0,0,0.001414363,0.001658061,0.014572944,0,0.028626241,0.004364294,0.006493003,0.003979386,0.001715991,0.007266738,0.000677494,0.000984115,0.0068195,0.000653298,0.001662735,0,0,0.002694385,0.006261791,0,0,0.020022704,0,0.007824867,0.002160468,0.006943518,0.008890569,0.00543075,0.021002222,0.010923212,0.009010216,0,0.002015785,0,0.00397064,0.007058295,0.002714062,0.002476747,0.000570133,0.007870355,0.011201185,0.003380835,0.014045836,0.006668095,0.004902224,0.013482198,0.002395276,0.000837929,0.005792793,0.004609684,0.000730391,0.010816912,0.006348298,0.002715479,0.021990844,0.022360431,0.010967469,0.008890003,0.003725678,0,0.00450379,0.001236042,0.002243121,0.001542644,0.037347737,0.0281676,0.001210633,0.000722596,0.001355218,0.000674986,0.004212554,0.002195018,0,0,0.001349312,0.008738207,0.007359441,0.003952088,0,0,0,0.018380865,0.005823068,0.005937112,0.004434912,0,0.002564199,0.006067563,0.016279555
2017/10/23,0,0,0.005795164,0.001421195,0.01790396,0,0.008497026,0.000712508,0.006815313,0.000839416,0.002649886,0.005429995,0.001574285,0.002571457,0.009604714,0.002401647,0.001425201,0.001930961,0,0.002169697,0.014882301,0,0,0.004607217,0.000429391,0.00361289,0.000510321,0.001342845,0.006532581,0.003083507,0.00779091,0.005752499,0.005551518,0,0.000477316,0,0.003729864,0.004228963,0,0.002122926,0.000488685,0.009930783,0.021116934,0,0.008382871,0.003722594,0.007088202,0.010509228,0,0.000922187,0.000464082,0.008952298,0.003909487,0.005381843,0.003093016,0.003135881,0.016503037,0.031772101,0.002505303,0.004983607,0.003193438,0.000952356,0.003236906,0,0.003328138,0.002795674,0.03420784,0.023526843,0.008443274,0,0.001292415,0.001158525,0.001514543,0.001540631,0.001702352,0,0.001686479,0.002046245,0.002643289,0.007520522,0,0,0,0.015547143,0.001907005,0.006379244,0.003312849,0.004248359,0.009116772,0.006592953,0.01299262
2017/10/24,0,0,0.004677894,0.001106462,0.016573682,0,0.014456412,0.001886267,0.006749758,0.001620047,0,0.002423767,0.008748249,0.001405866,0.004812931,0,0.000541664,0.011055702,0,0.008471559,0.008937217,0,0,0.005295028,0,0.008820558,0.000624422,0.001929185,0.00321018,0.002029499,0.00967039,0.002512734,0.000349437,0.000850921,0.002779439,0.001097801,0.001819521,0.021227416,0,0,0,0.007467076,0.011121226,0.000321313,0.00565314,0.004595065,0.00575814,0.019503791,0.002806687,0.005163155,0.001766819,0.001175759,0.002009684,0.014081498,0.006132723,0.006932021,0.021251439,0.015200328,0.009625361,0.002984166,0,0.000864175,0,0.000535837,0.00324967,0.008866692,0.038405984,0.018566887,0.004628202,0,0.001065783,0,0.000478858,0.002306047,0.000810408,0,0.002470563,0.006661775,0.008087501,0.012682212,0.002815977,0,0,0.015610437,0.002967471,0.001896019,0.004081084,0,0.015530043,0.009007934,0.017030909
2017/10/25,0,0,0.000479268,0.002108944,0.017494288,0,0.016507495,0.001921857,0.001573216,0.006717888,0.001998021,0.005960661,0.026152275,0.000362926,0.004032984,0.004737699,0.002029769,0.008414685,0,0.007707696,0.00605766,0,0.00206249,0.014337914,0,0.008120062,0,0.003309144,0.003572866,0.007018586,0.012623801,0.004409842,0.00671871,0,0.000775846,0.003159293,0.001413648,0.01830543,0,0,0.000506906,0.006502845,0.004683533,0.000599398,0.0052729,0.013042764,0.006100762,0.022894311,0.006473856,0.002071355,0.001871881,0.003272474,0.002154623,0.021296819,0.00971087,0.001195682,0.02087264,0.007258004,0.014768752,0.002929387,0,0.000488306,0.000807623,0,0.003191506,0.001918598,0.029126092,0.023564865,0.009173494,0.006700761,0.003347482,0.000678973,0.000570038,0.0035337,0.001761148,0,0.001632909,0.005938176,0.011112614,0.01098233,0,0,0,0.011614837,0.013223806,0.002001567,0.000945119,0,0.015193004,0.011299648,0.016870109
2017/10/27,0,0,0.008250197,0.008155072,0.010793349,0,0.005540426,0.004565098,0.010812997,0.009526973,0.003998008,0.011879029,0,0.002019695,0.007834471,0,0.001276233,0.001078754,0,0.007342968,0.013936356,0,0.003433418,0.000508648,0.001313955,0.005615337,0.000249049,0.006199539,0.008769766,0,0.014242261,0.018089411,0.002391327,0,0.000401408,0.0010642,0.000945881,0.002331731,0.005217274,0,0,0.009217356,0.003400293,0,0.008971753,0.00405904,0.010843217,0.017593771,0.012511121,0.002709019,0.000390279,0.005388674,0.000730701,0.001994035,0.002985387,0.001524108,0.018663144,0.022395389,0.010773901,0.009328586,0.001734836,0.000386801,0.010447004,0,0.000748919,0.00055109,0.033734548,0.029483742,0.004181023,0.000911307,0.008698586,0.005280123,0.011053406,0.004118966,0.00749123,0,0.002378516,0.000508156,0.002197354,0.007420617,0,0,0,0.011291616,0.002038577,0.001643311,0.000394432,0.001012759,0.010602274,0.007594761,0.012550106
2017/10/28,0,0,0.009200161,0.008249508,0.0098164,0,0.008861795,0,0.017042104,0.004609899,0.001797914,0.003830462,0.000810469,0.001232844,0.007712795,0,0.005183961,0.000678829,0,0.007787838,0.007355818,0,0,0.003205434,0.000533987,0.010040369,0,0.003773405,0.004969423,0.003230686,0.016583518,0.009022183,0.002700768,0,0.000499312,0,0.012169934,0.002479134,0,0,0,0.005892608,0.00889551,0.000392921,0.010252852,0.004734405,0.009723207,0.018738704,0.001352766,0.0026174,0.001940195,0.004303508,0.003061403,0.00622911,0.004616207,0.003040162,0.021506258,0.016867414,0.00447805,0.006347734,0,0.000481143,0.00059445,0,0.006566532,0.003386961,0.031793982,0.026026664,0.006698541,0,0.000468685,0,0.003325073,0.001219578,0.003983843,0,0.00107319,0,0.007512787,0.004134278,0,0,0,0.008427102,0.002084478,0.006736547,0.0028667,0.001133129,0.010262301,0.007705634,0.014584674
2017/10/29,0,0,0.008003537,0.001320018,0.016550166,0,0.001878415,0.000619731,0.014166988,0.001829675,0.001283844,0.005492713,0.002732381,0.000372886,0.008785407,0.002603635,0.008459,0.003448252,0,0,0.005181099,0,0,0.004130104,0.002219269,0.009093953,0,0.003969402,0.010402675,0,0.013326459,0.005667975,0.014036051,0,0,0,0,0.00700924,0,0.003153379,0,0.006755042,0.011326308,0.00519877,0.015858261,0.009179375,0.01130076,0.014681339,0.005853103,0.00231658,0,0.00386933,0.000992659,0.012293714,0.005025533,0.003429745,0.01527346,0.026273736,0.004049757,0.007431856,0,0,0.005163202,0,0.005102108,0.00438604,0.0443949,0.019584918,0.005307843,0.002618729,0.003799741,0.004345217,0.003797061,0.005797823,0.003944435,0,0.002651449,0.002204364,0.009868628,0.008759378,0,0,0,0.00956162,0.001987525,0.007359922,0.003112073,0.003108421,0.010539732,0.010926513,0.01589639
