Date,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20,Topic-21,Topic-22,Topic-23,Topic-24,Topic-25,Topic-26,Topic-27,Topic-28,Topic-29,Topic-30,Topic-31,Topic-32,Topic-33,Topic-34,Topic-35,Topic-36,Topic-37,Topic-38,Topic-39,Topic-40,Topic-41,Topic-42,Topic-43,Topic-44,Topic-45,Topic-46,Topic-47,Topic-48,Topic-49
2018-03-04,0.001188953,0.010996334,0.005395565,0.007072028,0.077485264,0.001589345,0.039516481,0.015180538,0.002625289,0.081510288,0.001010707,0.007009553,0.034049334,0.009038857,0.035809319,0.030438839,0.031937912,0.001684472,0.024692129,0.004346662,0.000449127,0.038109826,0.005472946,0.002407698,0.003093779,0.004625181,0.004669646,0.068894255,0.001593387,0.007291154,0.026055371,0.030387609,0.002239935,0.007885571,0.005077467,0.00040208,0.095058811,0.002568423,0.018564146,0.011964933,0.019894999,0.035616218,0.021771459,0.004766123,0.037628579,0.001441462,0.110326869,0,0,0
2018-03-05,0.018611769,0.007025881,0.004158507,0.001245965,0.042049496,0.003982691,0.022972119,0.008932551,0.000298839,0.048969668,0.002939738,0.005845505,0.016396146,0.014916298,0.028303593,0.008175401,0.015169777,0.004624513,0.018807365,0.030603153,0,0.042330423,0.008708879,0.011960779,0.004596287,0.004097309,0.024926787,0.076520316,0.007689858,0.020827543,0.022028785,0.008959265,0.005365635,0.005173001,0.010572012,0.02206015,0.015561326,0.01002491,0.015190516,0.007313707,0.028778265,0.01440054,0.010827065,0.00255121,0.049660978,0.002123698,0.242400159,0,0,0
2018-03-06,0.025985695,0.011886972,0.018912943,0.000867652,0.020897769,0.009417182,0.021094865,0.003027037,0.000318331,0.055914789,0.003860342,0.005052179,0.025041016,0.022824267,0.035510193,0.02337018,0.010450184,0.005903011,0.045680101,0.059598233,0.002166299,0.051435816,0.009093208,0.002680902,0.002281055,0.028826349,0.01899742,0.076857634,0.003734699,0.016538364,0.007031829,0.031873326,0.007355215,0.020812127,0.008940597,0.008298036,0.042673107,0.000477655,0.023964427,0.025178751,0.021249489,0.048429862,0.011189646,0.01519548,0.026041281,0.002472489,0.063756336,0,0,0
2018-03-07,0.009127715,0.005261474,0.005140217,0.001088241,0.029253099,0.063854798,0.008639123,0.002657941,0.001900281,0.077143247,0.010094826,0,0.035295226,0.025948371,0.035691277,0.028693426,0.014281408,0.023224002,0.024905149,0.105464342,0.000456323,0.037033889,0.026403355,0.001196652,0.022174,0.026034708,0.032675732,0.043585735,0,0.005293297,0.005299898,0.01844036,0,0.00493027,0.017481166,0.005652769,0.037732236,0,0.017036271,0.011090191,0.014120115,0.052831233,0.012511344,0.017188017,0.018993718,0.026022817,0.027127472,0,0,0
2018-03-08,0.021482625,0.00216676,0.006172368,0,0.039039872,0.033650241,0.027341348,0.013443799,0.001707495,0.041704552,0.032312134,0.015142775,0.010136347,0.040185474,0.016016275,0.011687908,0.00368143,0.023760811,0.113627946,0.087580731,0.000964055,0.042676788,0.01196966,0.021121827,0.002455337,0.002040029,0.057936588,0.017899077,0.00031452,0.00273447,0.006930036,0.00744203,0.010610207,0.018552275,0.012756066,0.01242219,0.007155621,0.000579438,0.016814409,0.005114425,0.017404564,0.066999833,0.012744823,0.035862231,0.008821695,0.003539677,0.038281232,0,0,0
2018-03-09,0.023616044,0.020635267,0.003578651,0.002281954,0.018842242,0.018962246,0.02889531,0.014555443,0.000252414,0.052066665,0.008635734,0.011775022,0.027604794,0.015075276,0.016786177,0.037910279,0.01407847,0.001326129,0.051670743,0.065914927,0.002228805,0.03093942,0.022823474,0.025901393,0.118901401,0.000502057,0.02018442,0.00402262,0,0.003960326,0.001502578,0.014490015,0.01009484,0.009181838,0.012986447,0.004639907,0.015261744,0.000974669,0.02083901,0.001908388,0.028654246,0.025312517,0.024468645,0.023572157,0.106254898,0.003662326,0.015240107,0,0,0
2018-03-10,0.011829447,0.055979322,0.005081805,0.002327689,0.030962931,0.039775156,0.042951309,0.029590849,0.000696286,0.074530562,0.007637868,0.019713237,0.008038242,0.007215037,0.013963029,0.011530474,0.006824881,0.013725468,0.037649602,0.101359129,0.003933181,0.016921307,0.023398566,0.016849678,0.025327522,0,0.019014165,0.022358387,0.000416862,0.003679846,0.002465507,0.010607076,0.009154168,0.012689031,0.015296801,0.000231311,0.015318218,0.000522974,0.015224372,0.003868822,0.002299658,0.024170268,0.015663201,0.021389103,0.147856709,0.023829563,0.007717192,0,0,0
2018-03-11,0.013778694,0.044613883,0.000485871,0.001199795,0.030773014,0.034052812,0.00929695,0.038525074,0.001216937,0.06643551,0.01035446,0.020474481,0.023988019,0.012618685,0.017397187,0.021622706,0.013962074,0.008604761,0.013447756,0.080655039,0.003840185,0.025937224,0.005116536,0.027469024,0.05769137,0,0.03260157,0.041865504,0.001096396,0.007186662,0.008424643,0.000403281,0.003476699,0.014714296,0.010167656,0.000306456,0.007845003,0.018646615,0.035931184,0.066356208,0.008424512,0.036297815,0.023064745,0.021109481,0.055599418,0.002746061,0.008867168,0,0,0
2018-03-12,0.018669595,0.013826589,0.01488688,0.005373902,0.04633818,0.053209088,0.021182754,0.025112161,0.000472955,0.036007614,0.014543182,0.011875794,0.019993466,0.017670736,0.013450889,0.021753488,0.010256037,0.000796612,0.023532764,0.058891421,0.005378418,0.04826447,0.018912355,0.014505884,0.041585148,0.003698202,0.041450722,0.006689129,0.0117247,0.002662645,0.010477965,0.016177153,0,0.01845102,0.023561895,0.009454381,0.012243485,0.003784808,0.052823873,0.041690967,0.012667634,0.027227375,0.029383412,0.0197532,0.076964933,0.008428081,0.002675208,0,0,0
2018-03-13,0.016508511,0.006779059,0.008769737,0,0.01109905,0.023909467,0.014352874,0.032181917,0.002426559,0.042484931,0.023532624,0.009911058,0.058799045,0.051945668,0.014825898,0.106924718,0.006878236,0.022573886,0.054205658,0.031838181,0.001116707,0.035613061,0.008550558,0.011178245,0.005457754,0,0.029286801,0.013567615,0.006587723,0.004275255,0.007586429,0.004614999,0.000941155,0.034723371,0.003194683,0.001168828,0.03848308,0.006127585,0.073959832,0.030293935,0.008027242,0.015867702,0.028986911,0.03233509,0.026701642,0.003444175,0.017614324,0,0,0
2018-03-14,0.034527251,0.010571733,0.00749837,0.001396651,0.061524331,0.037711073,0.007078297,0.044903806,0.00082537,0.018924119,0.010822308,0.011607358,0.039847335,0.039220565,0.00717597,0.056628599,0.01874687,0.024194262,0.02704903,0.035653627,0.000354956,0.100219567,0.00745234,0.014861372,0.003844521,0.001162613,0.016977603,0.002034064,0.000639267,0.006384688,0.007413448,0.121649398,0.002199047,0.036603595,0.005729117,0.002751418,0.007674488,0.000810431,0.044755397,0.013600135,0.001522109,0.01166544,0.023525372,0.024076566,0.014088746,0.002308409,0.016409457,0,0,0
2018-03-15,0.037784075,0.0162821,0.007934309,0.001958594,0.03151827,0.081491731,0.005322056,0.019887972,0.001062575,0.062237289,0.010817197,0.053889671,0.021120617,0.055833839,0.029519056,0.004945549,0.049593526,0.01775315,0.034843344,0.04771039,0.005743618,0.052300093,0.005662165,0.007177165,0.000928011,0.003156089,0.008615972,0.021148099,0.001253026,0.005874166,0.011160953,0.057240517,0.002110772,0.036528875,0.0023264,0.018206652,0.022914777,0.001558185,0.048057754,0.022314616,0.004750182,0.007358977,0.024524408,0.013520729,0.00303886,0.000875378,0.004738114,0,0,0
2018-03-16,0.012323109,0.011900715,0.006132298,0.002366173,0.045117416,0.031451997,0.024487557,0.02831536,0.002342083,0.091300974,0.008737717,0.032072743,0.022469269,0.04708912,0.026688138,0.028690882,0.012551504,0.034647077,0.048480841,0.054723959,0.004590028,0.043374191,0.013410438,0.002195819,0.000319116,0.001188205,0.002069708,0.025617369,0.01014178,0.006247962,0.004986824,0.029808828,0.002205712,0.013924282,0.01241438,0.015647376,0.02200889,0.010088264,0.028826123,0.014362939,0.00528527,0.047710253,0.013511061,0.040553714,0.029978151,0.003029775,0.008343479,0,0,0
2018-03-17,0.008608032,0.028641587,0.003177091,0.003036622,0.052384353,0.058349429,0.004029497,0.016946341,0.00122667,0.102351994,0.007537852,0.010396492,0.011254943,0.039318585,0.020621747,0.022748942,0.011557406,0.031224397,0.0224591,0.07426964,0.001085094,0.020121439,0.015195717,0.007011433,0.005499445,0.007079773,0.015327822,0.071938279,0.002637883,0.004544633,0.019581704,0.034310305,0.009130103,0.013478684,0.02038573,0.009415913,0.004236469,0.005161882,0.019315666,0.01182195,0.004258733,0.035333651,0.005005582,0.020173468,0.071567065,0.004017851,0.023169002,0,0,0
2018-03-18,0.013452319,0.033829602,0.000988422,0.000472718,0.075161185,0.078268019,0.027418799,0.023190085,0.001433346,0.050969149,0.026431249,0.002429646,0.005635096,0.011557457,0.001648107,0.025130959,0.012097788,0.044228178,0.024299291,0.045632023,0.000980626,0.037405894,0.00783042,0.004344581,0.013149751,0.007474929,0.007383256,0.139321282,0.001510586,0.000740415,0.016892864,0.037057106,0.012840046,0.000460006,0.001120149,0.007090872,0.00163031,0.006359124,0.009357783,0.017165766,0.007795918,0.039417734,0.007479372,0.001505399,0.084849515,0.001292207,0.005944295,0,0,0
2018-03-19,0.006499396,0.029985616,0,0.001182054,0.045433622,0.076944009,0.042831257,0.00154684,0.001459977,0.058776527,0.014105912,0.010574203,0.025724059,0.051890544,0.013137342,0.034570922,0.006589859,0.001769158,0.022646079,0.037687331,0,0.075687096,0.008018947,0,0.005536789,0,0.027689239,0.092056695,0.009669286,0.002881304,0.002547439,0.019171628,0.005426737,0.011112217,0.013831542,0.001738792,0.083971032,0.003804013,0.022193618,0.031417202,0.007049799,0.027856163,0.00921144,0.022508854,0.003915584,0.000824529,0.013801432,0,0,0
2018-03-20,0.018827474,0.015811049,0.004926701,0.001283005,0.052988431,0.040036648,0.02117393,0.001218824,0,0.039425364,0.001806306,0.012276981,0.038129076,0.0839101,0.00163376,0.031916442,0.003654959,0,0.055132922,0.044337869,0,0.089205313,0.014319658,0.008132812,0.000461127,0.006382699,0.045303127,0.045801704,0.002588124,0.002980686,0.002492353,0.015212755,0.014582525,0.028741017,0.021875649,0.000798175,0.050207946,0,0.039165875,0.012949973,0.004153954,0.03603026,0.012412953,0.023121189,0.031521329,0.002174246,0.008324322,0,0,0
2018-03-21,0.020638154,0,0,0.004257005,0.058585696,0.044924898,0.020169294,0.003970041,0.000613534,0.049272112,0.001801485,0.002110492,0.0367578,0.081158972,0.031002856,0.022947437,0.010752782,0,0.05163142,0.02388823,0,0.055539449,0.010468853,0.003891536,0.000504025,0.021485032,0.043755515,0.066422611,0.003070405,0.001321128,0.008516397,0.022006677,0.012403092,0.014537347,0.00090987,0.015102786,0.043675875,0,0.046343758,0.009149519,0.003067728,0.039038402,0.047930518,0.012840469,0.039392262,0.001437264,0.000240833,0,0,0
2018-03-22,0.030682105,0.005720875,0.005659562,0.002352813,0.019239663,0.05737427,0.002265023,0.044481434,0.003666356,0.084290311,0.002596232,0.010960783,0.05934593,0.039081878,0.000879445,0.025053242,0.027267266,0.005612961,0.03381655,0.037670971,0.00180051,0.035348216,0.008128965,0.01149882,0.000481638,0.027394851,0.003098001,0.055644055,0.004146892,0.006241867,0.005765878,0.055545647,0.009621092,0.0261192,0.012463824,0.016623303,0.035746741,0.000765986,0.00518532,0.002401959,0.012185594,0.042422625,0.03723569,0.028845155,0.014088887,0.02624435,0.006020731,0,0,0
2018-03-23,0.015929354,0.001443957,0.034560023,0,0.025146732,0.034411943,0.01409923,0.001268887,0,0.076176971,0.009673919,0.01814198,0.06250674,0.034511393,0.007797586,0.015754638,0.015504317,0.020405223,0.023990978,0.073543759,0.001323125,0.060065986,0.01142053,0.008985823,0.000687777,0.003288855,0.025303105,0.045072327,0.007089515,0.00350005,0.014582875,0.035447344,0.005174728,0.01652829,0.022213158,0.000514693,0.063130671,0,0.010279788,0.03669113,0.009861313,0.015055511,0.037214937,0.033568364,0.022809809,0.001228968,0.010886633,0,0,0
2018-03-24,0.018078389,0.023199499,0.016726806,0.004625035,0.03782643,0.035752442,0.060498906,0.010469784,0.001516753,0.024388843,0.004937864,0.021507066,0.021954597,0.022681538,0.013346159,0.00504794,0.025556088,0.02065396,0.005464961,0.074459663,0.003801863,0.066534257,0.001075385,0.00523983,0.001251133,0.004714811,0.008041881,0.074856858,0.002426179,0.001569265,0.017136766,0.032797356,0.006458515,0.00980981,0.006864938,0.008083701,0.018921916,0,0.017061983,0.065079224,0.019401409,0.043285779,0.040215479,0.022338464,0.029181558,0.019516523,0.008780351,0,0,0
