Date,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20,Topic-21,Topic-22,Topic-23,Topic-24,Topic-25,Topic-26,Topic-27,Topic-28,Topic-29,Topic-30,Topic-31,Topic-32,Topic-33,Topic-34,Topic-35,Topic-36,Topic-37,Topic-38,Topic-39,Topic-40,Topic-41,Topic-42,Topic-43,Topic-44,Topic-45,Topic-46,Topic-47,Topic-48,Topic-49
2021-01-16,0.015413076,0.023679176,0.026790097,0.013813944,0.017287391,0.009041913,0.025669817,0.006407809,0.018562311,0.022308144,0.028819779,0.14400296,0.009698043,0,0,0.046319861,0.016171701,0.003188908,0.011544081,0.003225741,0.022704884,0.006451281,0.015984789,0.008322388,0.043991706,0.022224553,0.016783449,0.006527253,0.004533672,0,0.009240129,0.003103636,0.009003979,0,0.009650021,0.008259983,0.029754946,0,0.011997404,0.006406306,0.089189912,0.011270991,0.007205204,0.021576392,0.003647425,0.005114128,0.008377268,0.020697784,0.011118005,0.014508426
2021-01-17,0.028339777,0.017595147,0.03019225,0.012551463,0.012225773,0.011336651,0.033313649,0.009086083,0.004454063,0.027336959,0.00568031,0.15829391,0.003361204,0,0.002981493,0.044671184,0.005148101,0.007635346,0,0.002395238,0.018411323,0.004936455,0.006495284,0.007058867,0.06297142,0.021371447,0.016886991,0.006689431,0,0.004273207,0,0.010670796,0.008557007,0.010597182,0.006403493,0,0.042435446,0.011334349,0.008538872,0.008416651,0.015581299,0.019778239,0.007389986,0.011766527,0.02117808,0.038971946,0.023526708,0.02715142,0.020745668,0.017825294
2021-01-18,0.003164571,0.018626468,0.025892798,0.00292104,0.012937209,0.009504077,0.031579925,0.011491442,0.010627608,0.012841188,0.013706125,0.070795988,0.030251973,0.028068226,0.028882793,0.042484219,0.008051629,0.003364186,0.018683302,0.002720234,0.018666587,0.011232537,0.005793466,0.009642845,0.046671477,0.032385403,0.028415114,0.006127942,0,0,0.002141646,0.020067639,0.019274899,0.019469188,0.020034383,0.02641425,0.018115386,0.021336,0,0.008858139,0.02990643,0.034974844,0.002637316,0,0.030370957,0.027753958,0.014115212,0.012941847,0.015029745,0.009667064
2021-01-19,0.022696643,0.00405718,0.027443965,0.001899281,0,0.006817051,0.012026132,0.030125833,0,0.011304405,0.009426405,0.145237057,0.018774894,0.013735848,0,0.019263356,0.018331242,0.025963957,0.016536708,0.022395103,0.006629228,0.007490261,0.007657888,0.020636916,0.027938985,0.030368108,0.052603577,0.010667171,0.007084257,0.004434702,0.014866366,0.011538354,0.019829383,0.028293236,0.004195612,0.00273483,0.007473868,0.008683137,0.021472284,0.015423784,0.03324929,0.022583701,0,0.029282428,0.013532457,0.025253573,0.019883813,0.001856571,0.002956469,0.014327027
2021-01-20,0.006279853,0.004374918,0.006031064,0.009563477,0.00457118,0.009960222,0.010982277,0.074619421,0.005699198,0.017371265,0.009278551,0.083280896,0.008999303,0.01063049,0.085861446,0.027812012,0.0173016,0.010960289,0.006908403,0.024155464,0.005144813,0.011409427,0.01151822,0.014840778,0.034545645,0.035996079,0.028666573,0.010447848,0.011035355,0.003122577,0.010560453,0.015099762,0.010106612,0.020643836,0.007827405,0.009137344,0.012407161,0.009915391,0.01684275,0.014627743,0.0377236,0.024142028,0.024747625,0.009659201,0.0060659,0.004667288,0.014298276,0.002902635,0.006363276,0.013099772
2021-01-21,0.020292326,0.003841776,0.00727219,0.00283631,0.001908512,0.004962598,0.007669417,0.033662888,0.006040585,0.006595198,0.0104183,0.137814798,0.023303223,0.017076717,0.05451093,0.018171403,0.019235244,0.008978788,0.007540046,0.037819551,0.014081068,0.003410688,0.015121429,0.009807856,0.072017789,0.034605935,0.029094532,0.005600325,0.002435732,0.004432495,0.004661547,0.025506146,0.012076509,0.021504269,0.008547494,0.002075665,0,0.004549814,0.022951007,0.014325788,0.01851731,0.014487007,0.031350334,0.01052082,0.014556409,0.011002468,0.007505011,0.003728518,0.005097757,0.019625646
2021-01-22,0.005534526,0.01310332,0.001997452,0.013794949,0.002007958,0.010755732,0.014530916,0.025359907,0.023493181,0.017220099,0.011785798,0.121577228,0.014046447,0.012827305,0.018465721,0.014775104,0.002516754,0.004664956,0.006951803,0.012976291,0.012508724,0.035332362,0.004270191,0.016288952,0.063105945,0.02197991,0.018458298,0.023607983,0.019447666,0.005396485,0.008565124,0.007023348,0.021268526,0.013504716,0.006014771,0.014259286,0.01239887,0.003731319,0.024964004,0.009157655,0.019775004,0.023108199,0.012236016,0.021476312,0.031335482,0.017705711,0.011805032,0.029951594,0.00699429,0.020263662
2021-01-23,0.009422832,0,0.008469192,0.003142671,0.011069634,0,0.01217345,0.028403515,0.015103545,0.014455125,0.011861406,0.13272644,0.014367489,0.036671151,0.022691052,0.027395952,0,0.018859738,0,0.00754768,0.019160727,0.047147365,0,0.002405819,0.107026367,0.027561222,0.016084438,0,0.031074908,0,0.010568967,0.004118941,0,0.005480283,0.010516287,0.028056439,0.016077577,0.003546823,0.025129951,0.018253084,0.015736792,0.021316087,0.008034852,0.010538414,0.024165366,0.022397208,0.009223939,0.015044109,0.008157679,0.005380051
2021-01-24,0.007430864,0.007494616,0.038332191,0.008728347,0.014522486,0,0.017007153,0.028297554,0.026583436,0.005980902,0.009753635,0.123354878,0.006324544,0.006096035,0.009207978,0.015457176,0.006717561,0.010015111,0.002956561,0,0.011277555,0.023046028,0.019380591,0.011657584,0.073967161,0.042467194,0.041056607,0.002341259,0.009154076,0,0.01470831,0,0.011641238,0.021803656,0.020282206,0.017543489,0.028533601,0,0.014192063,0.006006249,0.030366611,0.024441312,0.025869577,0.003193254,0.027459447,0.022978591,0.021854715,0.004571991,0.006122217,0.008702745
2021-01-25,0.008757441,0.005925243,0.020733534,0.021850439,0.011937703,0.005765185,0.005137374,0.012020247,0.012310905,0.005868646,0.028229577,0.129975495,0.003393495,0,0.005602907,0.024588383,0.01116844,0.022895865,0.018781653,0.004736074,0.023175672,0.008249885,0.020159385,0.006513219,0.063909909,0.037001989,0.014013091,0.013676283,0.022235337,0.002429422,0.02323502,0.008370404,0.012924787,0.016358533,0.01712142,0.011362799,0.020428373,0.027512302,0.016590963,0.017073198,0.0305297,0.007426922,0.015544897,0.026236606,0.014377202,0.009321959,0.019944594,0.010014519,0.002254419,0.002190408
